ID,Date,EmployeeName,GrossPay,USC,PRSI,IncomeTax,Health,Union,NetPay
1,2024-01-25,John Smith,8453.917,407.6338,346.6106,2681.5667,422.69583,50.0,4545.41
1,2024-02-25,John Smith,8453.917,407.6338,346.6106,2681.5667,422.69583,50.0,4545.41
1,2024-03-25,John Smith,8453.917,407.6338,346.6106,2681.5667,422.69583,50.0,4545.41
1,2024-04-25,John Smith,8453.917,407.6338,346.6106,2681.5667,422.69583,50.0,4545.41
1,2024-05-25,John Smith,8453.917,407.6338,346.6106,2681.5667,422.69583,50.0,4545.41
1,2024-06-25,John Smith,8453.917,407.6338,346.6106,2681.5667,422.69583,50.0,4545.41
1,2024-07-25,John Smith,8453.917,407.6338,346.6106,2681.5667,422.69583,50.0,4545.41
1,2024-08-25,John Smith,8453.917,407.6338,346.6106,2681.5667,422.69583,50.0,4545.41
1,2024-09-25,John Smith,8453.917,407.6338,346.6106,2681.5667,422.69583,50.0,4545.41
1,2024-10-25,John Smith,8453.917,407.6338,346.6106,2681.5667,422.69583,50.0,4545.41
1,2024-11-25,John Smith,9023.0,453.1604,369.943,2909.2,451.15002,50.0,4789.547
