ID,Date,EmployeeName,GrossPay,USC,PRSI,IncomeTax,NetPay
3,2023-10-25,John Doe,64409.00,2462.67,2640.77,17363.60,41941.96
3,2023-11-25,John Doe,64409.00,2462.67,2640.77,17363.60,41941.96
3,2023-12-25,John Doe,64409.00,2462.67,2640.77,17363.60,41941.96
3,2024-01-25,John Doe,64409.00,2462.67,2640.77,17363.60,41941.96
3,2024-02-25,John Doe,64409.00,2462.67,2640.77,17363.60,41941.96
3,2024-03-25,John Doe,64409.00,2462.67,2640.77,17363.60,41941.96
3,2024-04-25,John Doe,64409.00,2462.67,2640.77,17363.60,41941.96
3,2024-05-25,John Doe,64409.00,2462.67,2640.77,17363.60,41941.96
3,2024-06-25,John Doe,64409.00,2462.67,2640.77,17363.60,41941.96
3,2024-07-25,John Doe,64409.00,2462.67,2640.77,17363.60,41941.96
3,2024-08-25,John Doe,64409.00,2462.67,2640.77,17363.60,41941.96
3,2024-09-25,John Doe,64409.00,2462.67,2640.77,17363.60,41941.96
3,2024-10-25,John Doe,64409.00,2462.67,2640.77,17363.60,41941.96
3,2024-11-25,John Doe,64409.00,2462.67,2640.77,17363.60,41941.96
