ID,Date,EmployeeName,GrossPay,USC,PRSI,IncomeTax,Health,Union,NetPay
2,2024-01-25,Jane Smith,5367.4165,177.14917,220.0641,1446.9668,268.37082,50.0,3204.8657
2,2024-02-25,Jane Smith,5367.4165,177.14917,220.0641,1446.9668,268.37082,50.0,3204.8657
2,2024-03-25,Jane Smith,5367.4165,177.14917,220.0641,1446.9668,268.37082,50.0,3204.8657
2,2024-04-25,Jane Smith,5367.4165,177.14917,220.0641,1446.9668,268.37082,50.0,3204.8657
2,2024-05-25,Jane Smith,5367.4165,177.14917,220.0641,1446.9668,268.37082,50.0,3204.8657
2,2024-06-25,Jane Smith,5367.4165,177.14917,220.0641,1446.9668,268.37082,50.0,3204.8657
2,2024-07-25,Jane Smith,5367.4165,177.14917,220.0641,1446.9668,268.37082,50.0,3204.8657
2,2024-08-25,Jane Smith,5367.4165,177.14917,220.0641,1446.9668,268.37082,50.0,3204.8657
2,2024-09-25,Jane Smith,5367.4165,177.14917,220.0641,1446.9668,268.37082,50.0,3204.8657
2,2024-10-25,Jane Smith,5367.4165,177.14917,220.0641,1446.9668,268.37082,50.0,3204.8657
2,2024-11-25,Jane Smith,5367.4165,177.14917,220.0641,1446.9668,268.37082,50.0,3204.8657
